titulo,director,anio,duracion,link_pelicula,letterboxd,tags,poster
Alias Gardelito,Lautaro Murúa,1961,90,https://drive.google.com/file/d/1cOEcPpvTqLj24t6JXeMd9-gmZe-oKZcQ/view,https://letterboxd.com/film/alias-gardelito/,,https://drive.google.com/uc?id=1FGNawjmCLQdF2UmmIrzV_I7hTrLawSvE
Amalia,Enrique García Velloso,1914,81,https://drive.google.com/file/d/1OeVB_DwwZMkThheuup555xfNdjnZIlLG/view,https://letterboxd.com/film/amalia-1914/,,https://drive.google.com/uc?id=17fAeoLIdABDeoOAWWmso-vkca-jfDwv4
Amante para dos,Hugo Sofovich,1981,94,https://drive.google.com/file/d/1i8v7pAgNnHiFHtgFl8LJdxMPBprPE68d/view,https://letterboxd.com/film/amante-para-dos/,,https://drive.google.com/uc?id=1sSTuUIyj0ZowK-Ab8jtfX0xnc2xKdHZB
Un movimiento extraño,Francisco Lezama,2024,23,https://drive.google.com/file/d/1aYZcab5FJXImFGFsJZLISD2GbL3QQ7tA/view,https://letterboxd.com/film/an-odd-turn/,,https://drive.google.com/file/d/1l6UteUYY-bf6Z7cIduDrDwpcTV2FNSRO/view?usp=sharing
Ana y los otros,Celina Murga,2003,80,https://drive.google.com/file/d/1b2C-G7u3gxwm9kwHE5CoRbJi40t8ocwd/view,https://letterboxd.com/film/ana-and-the-others/,,https://drive.google.com/uc?id=1nbpMhtQxWNmqOrNdJAaW3GiCkj80-_eL
Ananke,Robertino Granados,1974,21,https://drive.google.com/file/d/1SEB2eDy5sqmctnzZ_g-mA3HxuCv-YuTF/view,https://letterboxd.com/film/ananke-1974/,,https://drive.google.com/uc?id=18yR7tw1iIpljbaN5VY8gNEeAcJwYVTQK
Andrés no quiere dormir la siesta,Daniel Bustamante,2010,108,https://drive.google.com/file/d/1MgueytqoI7ClQB-v8RRsqLx2Obf9w7P8/view,https://letterboxd.com/film/andres-doesnt-want-to-take-a-nap/,#MemoriaAbierta,https://drive.google.com/file/d/1zCVZGmOBQx-CSOFbmgYMCgXg_qve428T/view?usp=sharing
Aniceto,Leonardo Favio,2008,82,https://drive.google.com/file/d/1ELUbQpJmGLHbqSPC3HSUmKMx_x7Yo7zS/view,https://letterboxd.com/film/aniceto/,,https://drive.google.com/uc?id=1NbKrWl1uwIxFOuai6N3uDTjzgBV-N34k
Otra película maldita,"Alberto Andrés Fasce, Mario Varela",2023,120,https://drive.google.com/file/d/1ypNM4UWSGh8wORbPgrDDD7RhzMDlYDoM/view,https://letterboxd.com/film/another-cursed-movie/,,
Antarktis,Javier Arcaro,2021,78,https://drive.google.com/file/d/1ahhFLUIG6LArxshIbgDXv9qHw3fdtll2/view?usp=drive_link,https://letterboxd.com/film/antarktis/,,https://drive.google.com/uc?id=1ja7ZAGygzuUWtjgdswkSvnBMvg2dkWhg
Arrabalera,Tulio Demicheli,1950,83,https://drive.google.com/file/d/1QsL8iBvhAZrAbJG5wvt0XW_QX4EuSSxO/view,https://letterboxd.com/film/arrabalera-1950/,,https://drive.google.com/uc?id=1pNKw87ZdT5Y3jTy_HcSr2fNOtsXHKkyo
Arroz con leche,Carlos Schlieper,1950,72,https://mega.nz/folder/aK5imRrJ#hBLKlb3u58Owiu0qp8lnyQ,https://letterboxd.com/film/arroz-con-leche/,,https://drive.google.com/uc?id=1S1O-3L50x_avTGdMURKBA5PNC05_vjsR
Cenizas del paraíso,Marcelo Piñeyro,1997,116,https://drive.google.com/file/d/1klLfnJ-Zpg1VSFVdtZQ1EN2wePmzE0NE/view,https://letterboxd.com/film/ashes-of-paradise/,,https://drive.google.com/file/d/1xm3zWAkc0s5bBVLrV_vTtVWVoe6Iy3-D/view?usp=sharing
Así es Buenos Aires,Emilio Vieyra,1971,95,https://drive.google.com/file/d/1CdJ45WHh7wNGq6lSjyRqUayRFeQpjI-m/view,https://letterboxd.com/film/asi-es-buenos-aires/,,https://drive.google.com/file/d/1PoSC0WpuJKF90h-9lVovC-erWH77ZnSt/view?usp=sharing
Así es la vida,Francisco Múgica,1939,90,https://drive.google.com/file/d/145-iOWXNDaOL5uMdNky7HVwwMIM14f1e/view,https://letterboxd.com/film/asi-es-la-vida-1939/,,https://drive.google.com/file/d/1nmVyb5cshaGtMw4jInuyfE27crZOsqfV/view?usp=sharing
Así no hay cama que aguante,Hugo Sofovich,1980,90,https://drive.google.com/file/d/1p3LRjH8T8nmD4FBwfrhOWbvFxLeN_nUX/view,https://letterboxd.com/film/asi-no-hay-cama-que-aguante/,,https://drive.google.com/file/d/1HgQL5rCDDEY74HXrgsX-g6C1lHJ-Qbvw/view?usp=sharing
Así o de otra manera,David José Kohon,1964,95,https://drive.google.com/file/d/1j57Ilp72-gqmU_Yhb1oeFRxVSE6bn2nK/view,https://letterboxd.com/film/asi-o-de-otra-manera/,,https://drive.google.com/file/d/1J2RkrcDYOW_6LJr7ctFHYHermGucRGux/view?usp=sharing
Asalto y violación en la calle 69,Pablo Bellini,1991,75,https://drive.google.com/file/d/1_bTtLX_Wu1KSlnOP85aHx93VJ_ESbywN/view,https://letterboxd.com/film/assault-and-rape-on-69th-street/,,https://drive.google.com/file/d/1flB2azRPXhLj6Y_2CiquyDuvjpzIBp5Q/view?usp=sharing
"Al final, el día",Carolina Vergara,2023,16,https://drive.google.com/file/d/1rbJ-k4u3a6JlGfevwUt06gnJkNVq-_mB/view,https://letterboxd.com/film/at-last-the-day/,,https://drive.google.com/uc?id=1SsljZvFcH5P56cpKhpzybRwd4y5W8MTZ
Avivato (El rey de los vivos),Enrique Cahen Salaberry,1949,76,https://drive.google.com/file/d/12hVr1wymskLROLiIel_ZPw7r9G8oKAHa/view,https://letterboxd.com/film/avivato-el-rey-de-los-vivos/,,https://drive.google.com/uc?id=1ECmbf4pM8H1k-JgqxslRB5kx3rd-xcXB
Ayúdame a vivir,José A. Ferreyra,1936,72,https://drive.google.com/file/d/1V8nGFYphFEvR31ult_zquYatwT08cwuv/view,https://letterboxd.com/film/ayudame-a-vivir/,,https://drive.google.com/file/d/1f-J5BW0Qzl7uIC3lzNeQAcZQ_-TFRkNr/view?usp=sharing
Badur Hogar,Rodrigo Moscoso,2019,101,https://drive.google.com/file/d/1tWKIZE_Q2AlYGpYWeVA2ow4RNpK9Htep/view?usp=sharing,https://letterboxd.com/film/badur-hogar/,,https://drive.google.com/uc?id=1-7eEY3kp7Far6SHB_fZDoiI_4XsmZTIJ
Baixo Erotism,Lucía Seles,2006,74,https://drive.google.com/file/d/1dVoty7BeCkbTMYHZ52JlQYJT0r9pFJi2/view,https://letterboxd.com/film/baixo-erotism/,,https://drive.google.com/uc?id=10dhTRTZVQWWirryGuMcjJLiPFCbJ_PQk
Bajo el signo de la patria,René Múgica,1971,110,https://drive.google.com/file/d/1V1MdzIT8UhIB0cZIimHJeHI9yLKpbBtl/view,https://letterboxd.com/film/bajo-el-signo-de-la-patria/,,https://drive.google.com/uc?id=1KAF9oRvySE2nXn2U0D-kvfzA-0oJGyz7
Balnearios,Mariano Llinás,2002,82,https://drive.google.com/file/d/1mo0A5YvwoOiJokM3BQuszLLTJY8t3vXh/view,https://letterboxd.com/film/balnearios/,,https://drive.google.com/uc?id=1ebqLSrjO-2DqVZCkW8ZfFLfqqzoBlkZc
Beatriz Portinari. A Documentary on Aurora Venturini,"Fernando Krapp, Agustina Massa",2013,76,https://drive.google.com/file/d/1cZJUYN3N_qPsXMEsw9C4SQp2GZ3OJVx3/view,https://letterboxd.com/film/beatriz-portinari-a-documentary-on-aurora-venturini/,,
El gran amor de Becquer,Alberto de Zavalía,1946,72,https://drive.google.com/file/d/1MjPg236EeToCFw6PWQe2lX97wyUfTYNz/view,https://letterboxd.com/film/becquers-great-love/,,https://drive.google.com/uc?id=10NHTqEmtC4mQgC0EKWTmsHdjcRm4BazK
Betibú,Miguel Cohan,2014,100,https://drive.google.com/file/d/1hApkgHA3woa1D0rsY4RO_XM54uyhtwY2/view,https://letterboxd.com/film/betibu/,,https://drive.google.com/file/d/1T6qLCSjmdcvAYsVF1SO4sh-hPD6tSHwi/view?usp=sharing
